LY;REG1;REG2_group_1;REG2_group_2;REG3_group_1;REG3_group_2;REG3_group_3;REG5_group_1;REG5_group_2;REG5_group_3;REG5_group_4;REG5_group_5;REG6_group_1;REG6_group_2;REG6_group_3;REG6_group_4;REG6_group_5;REG6_group_6
0;-5;-5;0;-1;-4;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0
-0.25;-3.5;-6;-1;-1;-5;-1;-0.5;-0.5;-0.5;-0.5;-1.5;-1;-1;-1;-1;-2;-1
0;3;3;0;1;2;0;1;1;1;0;0;1;1;1;0;0;0
0;2;2;0;0;2;0;0;0;0;1;1;0;0;0;1;1;0
0;-4;-4;0;0;-4;0;0;-1;-1;-1;-1;0;-1;-1;-1;-1;0
0;2;2;0;0;2;0;0;1;1;0;0;0;1;1;0;0;0
0;-0.5;2;1;0;2;1;-0.5;-0.5;-0.5;0.5;0.5;0;0;0;1;1;1
0;-0.5;-3;-1;0;-3;-1;0.5;0.5;-0.5;-0.5;-0.5;0;0;-1;-1;-1;-1
0;-1.5;-4;-1;-1;-3;-1;-0.5;-0.5;0.5;0.5;-1.5;-1;-1;0;0;-2;-1
0;-4;-4;0;-1;-3;0;-1;-1;-1;-1;0;-1;-1;-1;-1;0;0
0;1;1;0;1;0;0;1;1;-1;0;0;1;1;-1;0;0;0
0;-0.5;-3;-1;-1;-2;-1;-0.5;-1.5;0.5;0.5;0.5;-1;-2;0;0;0;-1
0;-1.5;-4;-1;0;-4;-1;0.500000000000001;-0.499999999999999;-0.499999999999999;-0.499999999999999;-0.499999999999999;0;-1;-1;-1;-1;-1
-0.25;-3.5;-6;-1;-1;-5;-1;-0.5;-1.5;-0.5;-0.5;-0.5;-1;-2;-1;-1;-1;-1
0;3;3;0;0;3;0;0;1;1;1;0;0;1;1;1;0;0
0;-1.5;1;1;0;1;1;-0.5;-0.5;-0.5;-0.5;0.5;0;0;0;0;1;1
0;-0.5;-3;-1;0;-3;-1;0.5;0.5;-0.5;-0.5;-0.5;0;0;-1;-1;-1;-1
0;2;2;0;0;2;0;0;0;1;1;0;0;0;1;1;0;0
0;-4;-4;0;-1;-3;0;-1;-1;-1;-1;0;-1;-1;-1;-1;0;0
0;-0.5;-3;-1;0;-3;-1;0.5;0.5;-0.5;-0.5;-0.5;0;0;-1;-1;-1;-1
0;2;2;0;0;2;0;0;0;0;1;1;0;0;0;1;1;0
0;-4;-4;0;0;-4;0;0;-1;-1;-1;-1;0;-1;-1;-1;-1;0
0;-2.5;-10;-3;-4;-6;-3;-2.5;0.5;0.5;-0.5;-0.5;-4;-1;-1;-2;-2;-3
0;-0.5;2;1;0;2;1;-0.5;-0.5;-0.5;0.5;0.5;0;0;0;1;1;1
0;2;2;0;1;1;0;1;1;0;0;0;1;1;0;0;0;0
0.75;-2.5;-5;-1;-2;-3;-1;-1.5;-0.5;0.5;-0.5;-0.5;-2;-1;0;-1;-1;-1
0;-0.5;2;1;0;2;1;-0.5;-0.5;-0.5;0.5;0.5;0;0;0;1;1;1
0;-1.5;-4;-1;0;-4;-1;0.5;-0.5;-0.5;-0.5;-0.5;0;-1;-1;-1;-1;-1
0;3;3;0;0;3;0;0;1;1;1;0;0;1;1;1;0;0
0;-1.5;1;1;0;1;1;-0.5;-0.5;-0.5;-0.5;0.5;0;0;0;0;1;1
0;-0.5;-3;-1;0;-3;-1;0.5;0.5;-0.5;-0.5;-0.5;0;0;-1;-1;-1;-1
0;-0.5;-3;-1;-2;-1;-1;-1.5;-0.5;0.5;0.5;0.5;-2;-1;0;0;0;-1
0;-5;-5;0;-1;-4;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0
0;-0.5;-3;-1;0;-3;-1;0.5;0.5;0.5;-0.5;-1.5;0;0;0;-1;-2;-1
0;-2.5;-5;-1;-1;-4;-1;-0.5;-0.5;-1.5;-0.500000000000001;0.5;-1;-1;-2;-1;0;-1
0;-4;-4;0;0;-4;0;0;-1;-1;-1;-1;0;-1;-1;-1;-1;0
0;-1.5;-4;-1;-1;-3;-1;-0.5;-0.500000000000001;0.5;-0.500000000000001;-0.5;-1;-1;0;-1;-1;-1
-0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;-4;-4;0;-1;-3;0;-1;-1;-1;-1;0;-1;-1;-1;-1;0;0
0;2;2;0;1;1;0;1;1;0;0;0;1;1;0;0;0;0
0;3;3;0;0;3;0;0;0;1;1;1;0;0;1;1;1;0
0;-5;-5;0;-1;-4;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0
0;3;3;0;1;2;0;1;1;1;0;0;1;1;1;0;0;0
0;-4;-4;0;-1;-3;0;-1;-1;-1;-1;0;-1;-1;-1;-1;0;0
0;-1.5;-4;-1;0;-4;-1;0.5;-0.5;-0.5;-0.5;-0.5;0;-1;-1;-1;-1;-1
0;-0.5;-3;-1;-1;-2;-1;-0.5;-0.5;0.5;0.5;-0.5;-1;-1;0;0;-1;-1
0;-6;-6;0;-2;-4;0;-2;-1;-1;-2;0;-2;-1;-1;-2;0;0
0;-0.5;-3;-1;0;-3;-1;0.5;0.5;-0.5;-0.5;-0.5;0;0;-1;-1;-1;-1
0;-1.5;-4;-1;-1;-3;-1;-0.5;-1.5;-0.500000000000001;0.5;0.5;-1;-2;-1;0;0;-1
-0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;-4;-4;0;0;-4;0;0;-1;-1;-1;-1;0;-1;-1;-1;-1;0
0;2;2;0;0;2;0;0;1;1;0;0;0;1;1;0;0;0
0;-0.5;2;1;0;2;1;-0.5;-0.5;-0.5;0.5;0.5;0;0;0;1;1;1
0;-1.5;-4;-1;0;-4;-1;0.5;-0.5;-0.5;-0.5;-0.5;0;-1;-1;-1;-1;-1
0;-0.5;-3;-1;-2;-1;-1;-1.5;0.5;0.5;0.5;-0.5;-2;0;0;0;-1;-1
0;-4;-4;0;-1;-3;0;-1;-1;-1;-1;0;-1;-1;-1;-1;0;0
0;2;2;0;1;1;0;1;1;0;0;0;1;1;0;0;0;0
0;-0.5;-8;-3;-3;-5;-3;-1.5;-0.5;0.5;0.5;0.5;-3;-2;-1;-1;-1;-3
0;-6;-6;0;-1;-5;0;-1;-1;-1;-1;-2;-1;-1;-1;-1;-2;0
0;3;3;0;1;2;0;1;1;1;0;0;1;1;1;0;0;0
0;-5;-5;0;-2;-3;0;-2;-1;-1;-1;0;-2;-1;-1;-1;0;0
-0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;-0.5;-3;-1;0;-3;-1;0.5;0.5;-0.5;-0.5;-0.5;0;0;-1;-1;-1;-1
0;2;2;0;0;2;0;0;0;1;1;0;0;0;1;1;0;0
0;-4;-4;0;-1;-3;0;-1;-1;-1;-1;0;-1;-1;-1;-1;0;0
0;2;2;0;1;1;0;1;1;0;0;0;1;1;0;0;0;0
0;3;-2;-2;-1;-1;-2;0;0;1;1;1;-1;-1;0;0;0;-2
0;-4;-4;0;0;-4;0;0;-1;-1;-1;-1;0;-1;-1;-1;-1;0
0;-1.5;-4;-1;-1;-3;-1;-0.5;0.5;0.5;-1.5;-0.5;-1;0;0;-2;-1;-1
0;-4;-4;0;-1;-3;0;-1;-1;-2;0;0;-1;-1;-2;0;0;0
0;1;-4;-2;0;-4;-2;1;0;0;0;0;0;-1;-1;-1;-1;-2
0;-0.5;-3;-1;-1;-2;-1;-0.5;0.5;0.5;-0.5;-0.5;-1;0;0;-1;-1;-1
0;-5;-5;0;-1;-4;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0
0.75;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0
0;3;3;0;0;3;0;0;1;1;1;0;0;1;1;1;0;0
0;-1.5;1;1;0;1;1;-0.5;-0.5;-0.5;-0.5;0.5;0;0;0;0;1;1
0;-0.5;-3;-1;0;-3;-1;0.5;0.5;-0.5;-0.5;-0.5;0;0;-1;-1;-1;-1
0;2;2;0;0;2;0;0;0;1;1;0;0;0;1;1;0;0
0;-7.5;-10;-1;-2;-8;-1;-1.5;-1.5;-2.5;-1.5;-0.5;-2;-2;-3;-2;-1;-1
0;3;3;0;1;2;0;1;1;1;0;0;1;1;1;0;0;0
0;-1.5;-4;-1;-1;-3;-1;-0.5;-1.5;-0.5;0.5;0.5;-1;-2;-1;0;0;-1
0;-4;-4;0;0;-4;0;0;-1;-1;-1;-1;0;-1;-1;-1;-1;0
